SENDER,SENDER_NAME,SENDER_TAG,SENDER_PARENT,SENDER_CHILD_1,SENDER_CHILD_2,SENDER_CHILD_3,SENDER_TYPE_FINAL
NBUYIN,NEARBUY INDIA,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
OLACAB,OLA CABS,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
DOMINO,DOMINO'S PIZZA,,SHOPPING,OFFLINE,FOOD,QSR,SHOPPING OFFLINE FOOD QSR
DDIMER,DESI DIMES,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
SFREEB,FREEB,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
EDEALS,DEALS N PRICE,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
IRCTCI,IRCTC,,SHOPPING,ONLINE,TRAVEL,RAIL,SHOPPING ONLINE TRAVEL RAIL
MYDALA,MYDALA,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
GOIBIB,GOIBIBO,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
FPANDA,FOODPANDA,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
RUMOUR,RUMOUR - LOUNGE,,SHOPPING,OFFLINE,FOOD,RESTAURANT,SHOPPING OFFLINE FOOD RESTAURANT
UBERIN,UBER INDIA,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
ZOPPER,ZOPPER,,SHOPPING,ONLINE,ELECTRONICS,,SHOPPING ONLINE ELECTRONICS 
YFCFIT,YOUR FITNESS CLUB,,SHOPPING,OFFLINE,HEALTH,,SHOPPING OFFLINE HEALTH 
BMSHOW,BOOKMYSHOW,,SHOPPING,OFFLINE,ENTERTAINMENT,,SHOPPING OFFLINE ENTERTAINMENT 
MYNTRA,MYNTRA,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
TAXIFS,TAXIFORSURE,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
JABONG,JABONG,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
JUSTDL,JUST DIAL,,SHOPPING,ONLINE,CLASSIFIED,,SHOPPING ONLINE CLASSIFIED 
IYEPME,YEP ME,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
ZIVAME,ZIVAME,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
INDIGO,INDIGO AIRLINES,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
SWIGGY,SWIGGY,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
AMSWAN,AMERICAN SWAN,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
PRPLLE,PURPLLE,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
PPPRTP,PEPPERTAP,,SHOPPING,ONLINE,FURNITURE,,SHOPPING ONLINE FURNITURE 
GFXOXO,GIFT XOXO,,SHOPPING,ONLINE,OTHERS,,SHOPPING ONLINE OTHERS 
BOXEHT,BOX EIGHT,,SHOPPING,OFFLINE,FOOD,QSR,SHOPPING OFFLINE FOOD QSR
SAMSNG,SAMSUNG,PROMOTION,SHOPPING,OFFLINE,ELECTRONICS,,SHOPPING OFFLINE ELECTRONICS 
GROFRS,GROFERS,,SHOPPING,ONLINE,GROCERIES,,SHOPPING ONLINE GROCERIES 
BIGBKT,BIG BASKET,,SHOPPING,ONLINE,GROCERIES,,SHOPPING ONLINE GROCERIES 
LYBRAT,LYBRATE,,SHOPPING,ONLINE,HEALTH,,SHOPPING ONLINE HEALTH 
IRSMSA,IRCTC,,SHOPPING,ONLINE,TRAVEL,RAIL,SHOPPING ONLINE TRAVEL RAIL
OLXIND,OLX INDIA,,SHOPPING,ONLINE,CLASSIFIED,,SHOPPING ONLINE CLASSIFIED 
LNSKRT,LENSKART,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
MERUCB,MERUCABS,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
EISSMS,LENSKART,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
LENSKT,LENSKART,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
YUPPTV,YUPP TV,,SHOPPING,ONLINE,OTHERS,,SHOPPING ONLINE OTHERS 
FNSPRB,FINISH PROBLEM,PROMOTION,SHOPPING,ONLINE,OTHERS,,SHOPPING ONLINE OTHERS 
PHEASY,PHARMEASY,,SHOPPING,ONLINE,HEALTH,,SHOPPING ONLINE HEALTH 
OYORMS,OYO ROOMS,,SHOPPING,ONLINE,TRAVEL,HOTEL,SHOPPING ONLINE TRAVEL HOTEL
HLACHF,HOLACHEF,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
CLUBMM,CLUB MAHINDRA,PROMOTION,SHOPPING,ONLINE,TRAVEL,HOTEL,SHOPPING ONLINE TRAVEL HOTEL
IBRYDE,RYDE,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
MMTRIP,MAKEMYTRIP,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
TNYOWL,TINY OWL,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
MMTAPP,MAKEMYTRIP,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
TRAVEL,VIA,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
MIXIGO,IXIGO,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
CLRTRP,CLEARTRIP,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
PZAHUT,PIZZA HUT,,SHOPPING,OFFLINE,FOOD,QSR,SHOPPING OFFLINE FOOD QSR
IMBLRT,INDIAMART,BUYER,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
AMAZON,AMAZON,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
INDMRT,INDIAMART,SELLER,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
FLPKRT,FLIPKART,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
EBAYIN,EBAY INDIA,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
GETCAL,GET APP,,SHOPPING,ONLINE,OTHERS,,SHOPPING ONLINE OTHERS 
SNAPDL,SNAPDEAL,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
EASEMY,EASYMYTRIP,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
SHOPCL,SHOPCLUES,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
STRBZR,STAR BAZAAR,PROMOTION,SHOPPING,OFFLINE,GROCERIES,,SHOPPING OFFLINE GROCERIES 
LMSHOP,LIFESTYLE,,SHOPPING,OFFLINE,RETAIL,,SHOPPING OFFLINE RETAIL 
FAASOS,FAASOS,,SHOPPING,OFFLINE,FOOD,QSR,SHOPPING OFFLINE FOOD QSR
REDBUS,REDBUS,,SHOPPING,ONLINE,TRAVEL,BUS,SHOPPING ONLINE TRAVEL BUS
JETPRV,JET AIRWAYS,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
UASKME,ASK ME BAZAAR,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
ZOMATO,ZOMATO,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
ASKMEB,ASK ME BAZAAR,,SHOPPING,ONLINE,MARKET PLACE,,SHOPPING ONLINE MARKET PLACE 
MERUPR,MERUCABS,,SHOPPING,ONLINE,TRAVEL,CABS,SHOPPING ONLINE TRAVEL CABS
SPICEJ,SPICE JET,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
BOOKER,BOOKER WHOLESALE,,SHOPPING,OFFLINE,GROCERIES,,SHOPPING OFFLINE GROCERIES 
JETAIR,JET AIRWAYS,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
FRZMNU,FRESH MENU,,SHOPPING,OFFLINE,FOOD,APP,SHOPPING OFFLINE FOOD APP
JETWAY,JET AIRWAYS,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
AIRIND,AIR INDIA,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
GOAIRL,GO AIRLINES,,SHOPPING,ONLINE,TRAVEL,AIRLINES,SHOPPING ONLINE TRAVEL AIRLINES
MCDNLD,MCDONALDS,,SHOPPING,OFFLINE,FOOD,QSR,SHOPPING OFFLINE FOOD QSR
AIRTKT,EASE MY TRIP,,SHOPPING,ONLINE,TRAVEL,PORTALS,SHOPPING ONLINE TRAVEL PORTALS
SBSBIO,RAJSEE AYURVEDIC,,SHOPPING,OFFLINE,HEALTH,,SHOPPING OFFLINE HEALTH 
ACTHYD,ACT FIBERNET,,UTILITY,TELECOM,INTERNET,,UTILITY TELECOM INTERNET 
AIRCEL,AIRCEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AECSTT,AIRCEL,CREDIT,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRMTA,AIRTEL,BILL PAYMENT,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
